BER,OSNR,InputPower,Failures
2.24e-08,38.6,-20.6,0
3.16e-07,24.9,-20.6,0
2.22e-08,38.6,-20.6,0
2.22e-08,38.6,-20.6,0
2.67e-07,25.2,-20.6,0
2.58e-07,25.0,-20.6,0
2.24e-08,38.6,-20.6,0
2.27e-08,38.6,-20.6,0
2.56e-07,25.1,-20.6,0
2.62e-07,25.3,-20.6,0
2.25e-08,38.6,-20.6,0
2.56e-07,25.2,-20.6,0
2.26e-08,38.6,-20.6,0
2.29e-08,38.6,-20.6,0
2.6e-07,25.2,-20.6,0
2.19e-08,38.6,-20.6,0
2.59e-07,25.1,-20.6,0
2.25e-08,38.6,-20.6,0
