BER,OSNR,InputPower
0.001844678,29.6,-5.06
0.00192311,28.3,-5.05
0.001877953,29.1,-5.06
0.001883663,29.6,-5.06
0.001815385,29.6,-5.06
0.002278236,28.3,-5.46
0.002753198,27.8,-5.73
0.002752491,27.0,-5.73
0.003138282,27.4,-6.03
0.002972608,27.0,-6.03
0.003176522,26.6,-6.04
0.002798769,26.3,-6.04
0.002875345,27.0,-6.03
0.002990587,26.6,-6.03
0.00305573,27.4,-6.03
0.002912465,27.0,-6.03
0.00322469,26.6,-6.04
0.00291215,26.3,-6.03
0.002920864,26.6,-6.03
0.003205318,25.9,-6.04
0.003216754,26.3,-6.04
0.003210691,25.9,-6.03
0.002870166,27.0,-6.03
0.003140462,26.6,-6.03
0.003202231,27.4,-6.04
0.004644843,26.3,-6.86
0.004850787,24.2,-6.86
0.004824428,25.2,-6.87
0.004868398,24.8,-6.86
0.004751849,25.2,-6.86
0.00428937,25.9,-6.87
0.004806913,24.8,-6.86
0.004787278,24.8,-6.86
0.004740563,25.2,-6.86
0.004709273,24.5,-6.86
0.006573454,23.5,-7.64
0.006852751,22.9,-7.64
0.006417629,23.8,-7.63
0.007076772,23.5,-7.63
0.006539395,22.9,-7.64
0.006636192,23.5,-7.63
0.007065264,22.9,-7.64
0.006790735,22.9,-7.63
0.006605922,23.5,-7.63
0.00693166,23.2,-7.64
0.006423431,24.2,-7.64
0.006308518,22.9,-7.64
0.007422525,22.9,-7.92
0.007575613,22.9,-7.92
0.007638877,22.9,-7.92
0.008136657,22.3,-7.92
0.007455296,22.6,-7.92
0.008062955,22.9,-7.92
0.008047306,22.6,-7.92
0.007947975,22.9,-7.92
0.008046513,22.6,-7.92
0.007868662,22.6,-7.92
0.007925074,22.9,-7.92
0.007311822,22.6,-7.92
0.008978513,22.6,-8.15
0.00887497,22.1,-8.14
0.008697233,22.3,-8.15
0.008801308,22.3,-8.14
0.008878337,22.1,-8.15
0.0089114,22.1,-8.15
0.009188582,22.3,-8.12
0.009066257,22.1,-8.1
0.008356829,22.3,-8.12
0.008984575,22.1,-8.1
0.008401887,22.3,-8.1
0.008787182,22.6,-8.12
0.008944911,22.6,-8.12
0.008321258,22.6,-8.12
0.001831541,30.1,-5.01
0.001632942,30.5,-5.02
0.001845339,29.1,-5.02
0.001669286,29.6,-5.02
0.002446983,27.4,-5.69
0.002673819,27.8,-5.69
0.002769269,27.4,-5.69
0.002689028,27.8,-5.69
0.002768901,27.4,-5.69
0.002483346,27.4,-5.69
0.002407938,27.0,-5.69
0.002806349,27.0,-5.69
0.002731194,27.4,-5.69
0.002510425,27.4,-5.68
0.00268337,27.0,-5.69
0.002600234,27.4,-5.69
0.002451181,27.0,-5.69
0.00275131,27.4,-5.69
0.002743183,27.4,-5.69
0.002619755,27.8,-5.69
0.002601164,27.8,-5.69
0.00362448,25.5,-6.38
0.00353523,26.3,-6.37
0.003404499,25.5,-6.38
0.003769527,26.3,-6.38
0.003976094,26.3,-6.38
0.00360373,26.3,-6.38
0.003858903,26.3,-6.38
0.003842216,26.3,-6.38
0.003445302,25.5,-6.38
0.003588525,26.3,-6.38
0.00371439,25.9,-6.38
0.003495022,26.3,-6.38
0.003909639,26.3,-6.38
0.003940119,25.5,-6.38
0.00394125,27.0,-6.38
0.003783331,25.5,-6.38
0.003876743,25.9,-6.38
0.003935575,26.6,-6.38
0.003919342,25.9,-6.38
0.003693136,26.3,-6.38
0.006098596,23.8,-7.33
0.00570042,24.2,-7.36
0.006049241,24.5,-7.36
0.005615129,24.2,-7.36
0.005837176,23.5,-7.36
0.005922932,24.2,-7.36
0.005785017,23.5,-7.36
0.006162156,23.8,-7.36
0.005680003,23.5,-7.36
0.007331522,23.2,-7.92
0.007736741,22.9,-7.93
0.008103351,22.6,-7.92
0.007707638,22.3,-7.93
0.007448025,22.9,-7.92
0.007332538,22.6,-7.93
0.007961378,23.2,-7.93
0.008041277,22.9,-7.92
